month,hour,renewable_available,avg_power_kw,sample_count
8,7,0.03998032258064516,39.98032258064516,31
8,8,0.08842564516129031,88.42564516129032,31
8,9,0.1274082258064516,127.40822580645161,31
8,10,0.15491209677419354,154.91209677419354,31
8,11,0.17142612903225807,171.42612903225807,31
8,12,0.17455983870967742,174.55983870967742,31
8,13,0.17321443548387097,173.21443548387097,31
8,14,0.15384112903225805,153.84112903225807,31
8,15,0.12506846774193547,125.06846774193548,31
8,16,0.08348459677419355,83.48459677419355,31
8,17,0.036347096774193545,36.347096774193545,31
8,18,0.00597508064516129,5.975080645161291,31
8,19,4.6612903225806445e-05,0.04661290322580645,31
8,20,0.0,0.0,31
8,21,0.0,0.0,31
8,22,0.0,0.0,31
8,23,0.0,0.0,31
9,0,0.0,0.0,30
9,1,0.0,0.0,30
9,2,0.0,0.0,30
9,3,0.0,0.0,30
9,4,0.0,0.0,30
9,5,0.0,0.0,30
9,6,0.0004710833333333333,0.4710833333333333,30
9,7,0.03094725,30.94725,30
9,8,0.07125875,71.25875,30
9,9,0.1029765,102.9765,30
9,10,0.13236791666666667,132.36791666666664,30
9,11,0.14100991666666665,141.00991666666667,30
9,12,0.13763941666666665,137.63941666666665,30
9,13,0.13555808333333333,135.55808333333334,30
9,14,0.12338483333333333,123.38483333333333,30
9,15,0.09857175000000001,98.57175,30
9,16,0.059894666666666665,59.894666666666666,30
9,17,0.020489,20.489,30
9,18,0.0006213333333333333,0.6213333333333334,30
9,19,0.0,0.0,30
9,20,0.0,0.0,30
9,21,0.0,0.0,30
9,22,0.0,0.0,30
9,23,0.0,0.0,30
10,0,0.0,0.0,31
10,1,0.0,0.0,31
10,2,0.0,0.0,31
10,3,0.0,0.0,31
10,4,0.0,0.0,31
10,5,0.0,0.0,31
10,6,0.0,0.0,31
10,7,0.020833790322580644,20.833790322580644,31
10,8,0.06226862903225806,62.26862903225807,31
10,9,0.09992532258064515,99.92532258064517,31
10,10,0.11941387096774195,119.41387096774194,31
10,11,0.1335409677419355,133.54096774193548,31
10,12,0.12366935483870968,123.66935483870968,31
10,13,0.10316129032258065,103.16129032258065,31
10,14,0.09536854838709677,95.36854838709677,31
10,15,0.06866314516129032,68.66314516129032,31
10,16,0.03580338709677419,35.803387096774195,31
10,17,0.00445,4.45,31
10,18,0.0,0.0,31
10,19,0.0,0.0,31
10,20,0.0,0.0,31
10,21,0.0,0.0,31
10,22,0.0,0.0,31
10,23,0.0,0.0,31
11,0,0.0,0.0,30
11,1,0.0,0.0,30
11,2,0.0,0.0,30
11,3,0.0,0.0,30
11,4,0.0,0.0,30
11,5,0.0,0.0,30
11,6,0.0,0.0,30
11,7,0.0005041666666666667,0.5041666666666667,30
11,8,0.04643658333333334,46.43658333333334,30
11,9,0.08129041666666666,81.29041666666667,30
11,10,0.10386191666666668,103.86191666666667,30
11,11,0.11964266666666666,119.64266666666667,30
11,12,0.13029491666666665,130.29491666666667,30
11,13,0.1281855,128.1855,30
11,14,0.09230266666666667,92.30266666666667,30
11,15,0.07438483333333333,74.38483333333333,30
11,16,0.02806991666666667,28.069916666666668,30
11,17,0.0,0.0,30
11,18,0.0,0.0,30
11,19,0.0,0.0,30
11,20,0.0,0.0,30
11,21,0.0,0.0,30
11,22,0.0,0.0,30
11,23,0.0,0.0,30
12,0,0.0,0.0,31
12,1,0.0,0.0,31
12,2,0.0,0.0,31
12,3,0.0,0.0,31
12,4,0.0,0.0,31
12,5,0.0,0.0,31
12,6,0.0,0.0,31
12,7,0.0,0.0,31
12,8,0.03352975806451613,33.52975806451613,31
12,9,0.08404403225806452,84.04403225806452,31
12,10,0.11076435483870968,110.76435483870968,31
12,11,0.1324016935483871,132.4016935483871,31
12,12,0.14132661290322582,141.32661290322582,31
12,13,0.13470903225806452,134.70903225806452,31
12,14,0.1118083870967742,111.8083870967742,31
12,15,0.07839032258064516,78.39032258064516,31
12,16,0.0347441935483871,34.744193548387095,31
12,17,0.0,0.0,31
12,18,0.0,0.0,31
12,19,0.0,0.0,31
12,20,0.0,0.0,31
12,21,0.0,0.0,31
12,22,0.0,0.0,31
12,23,0.0,0.0,31
